timestamp,f0_update_count,f1_announcement_count,f2_withdrawal_count,f3_avg_as_path_length,f4_median_as_path_length,f5_as_path_change_count
2020-04-01 15:00:00,1382,1267,114,4.656669297553275,4.0,158
2020-04-01 15:00:06,772,700,71,4.717142857142857,4.0,208
2020-04-01 15:00:12,923,842,80,5.264845605700713,5.0,309
2020-04-01 15:00:18,598,483,111,5.25879917184265,5.0,170
2020-04-01 15:00:24,561,506,53,4.875494071146245,5.0,107
2020-04-01 15:00:30,2545,2262,283,5.324049513704686,5.0,370
2020-04-01 15:00:36,502,437,63,4.894736842105263,5.0,96
2020-04-01 15:00:42,713,653,56,5.295558958652373,5.0,332
2020-04-01 15:00:48,979,826,152,5.106537530266344,5.0,235
2020-04-01 15:00:54,819,776,43,5.689432989690721,6.0,277
2020-04-01 15:01:00,699,602,97,5.378737541528239,6.0,184
2020-04-01 15:01:06,437,357,79,5.364145658263305,5.0,139
2020-04-01 15:01:12,808,635,173,5.407874015748032,5.0,279
2020-04-01 15:01:18,588,427,159,5.473067915690867,5.0,163
2020-04-01 15:01:24,770,673,91,5.023774145616642,5.0,273
2020-04-01 15:01:30,668,618,50,4.559870550161812,4.0,194
2020-04-01 15:01:36,664,635,29,4.554330708661418,4.0,206
2020-04-01 15:01:42,504,470,32,4.636170212765958,4.0,254
2020-04-01 15:01:48,872,730,139,4.615068493150685,4.0,246
2020-04-01 15:01:54,906,852,52,5.043427230046948,5.0,225
2020-04-01 15:02:00,411,323,88,5.34984520123839,6.0,64
2020-04-01 15:02:06,421,388,33,5.445876288659794,5.0,241
2020-04-01 15:02:12,571,496,74,5.804435483870968,5.0,212
2020-04-01 15:02:18,402,309,93,5.375404530744337,5.0,111
2020-04-01 15:02:24,572,501,70,5.536926147704591,5.0,126
2020-04-01 15:02:30,274,233,37,4.523605150214593,4.0,64
2020-04-01 15:02:36,445,409,33,5.036674816625917,5.0,203
2020-04-01 15:02:42,295,241,52,5.3029045643153525,5.0,91
2020-04-01 15:02:48,521,451,69,5.483370288248337,5.0,180
2020-04-01 15:02:54,766,712,52,6.073033707865169,6.0,132
2020-04-01 15:03:00,568,531,35,5.389830508474576,5.0,151
2020-04-01 15:03:06,504,457,47,4.269146608315099,4.0,140
2020-04-01 15:03:12,294,279,15,4.853046594982079,5.0,121
2020-04-01 15:03:18,530,485,44,5.354639175257732,5.0,253
2020-04-01 15:03:24,648,626,22,4.573482428115016,4.0,201
2020-04-01 15:03:30,678,655,20,4.517557251908397,4.0,179
2020-04-01 15:03:36,287,271,15,5.199261992619927,5.0,131
2020-04-01 15:03:42,193,173,16,4.369942196531792,4.0,65
2020-04-01 15:03:48,451,407,42,4.857493857493857,5.0,232
2020-04-01 15:03:54,759,690,68,4.87536231884058,5.0,215
2020-04-01 15:04:00,332,270,61,4.777777777777778,4.0,92
2020-04-01 15:04:06,381,317,62,4.347003154574132,4.0,150
2020-04-01 15:04:12,272,245,26,5.391836734693878,5.0,97
2020-04-01 15:04:18,431,369,61,5.382113821138211,5.0,113
2020-04-01 15:04:24,559,537,22,4.986964618249535,5.0,202
2020-04-01 15:04:30,372,341,31,4.392961876832844,4.0,81
2020-04-01 15:04:36,596,577,17,4.688041594454073,5.0,162
2020-04-01 15:04:42,133,120,11,4.666666666666667,5.0,44
2020-04-01 15:04:48,319,285,28,5.003508771929824,5.0,123
2020-04-01 15:04:54,656,630,26,6.90952380952381,5.0,181
2020-04-01 15:05:00,459,377,81,5.440318302387268,5.0,92
2020-04-01 15:05:06,423,411,11,4.170316301703163,4.0,190
2020-04-01 15:05:12,559,542,16,4.630996309963099,4.0,200
2020-04-01 15:05:18,943,887,54,4.558060879368658,4.0,258
2020-04-01 15:05:24,753,701,51,5.372325249643366,5.0,246
2020-04-01 15:05:30,467,448,19,4.727678571428571,4.0,148
2020-04-01 15:05:36,643,621,20,4.304347826086956,4.0,159
2020-04-01 15:05:42,648,586,62,4.843003412969283,5.0,185
2020-04-01 15:05:48,567,513,53,5.0,5.0,146
2020-04-01 15:05:54,884,834,46,7.483213429256595,6.0,328
2020-04-01 15:06:00,701,588,110,6.20578231292517,6.0,289
2020-04-01 15:06:06,470,427,41,6.412177985948477,6.0,243
2020-04-01 15:06:12,575,531,44,5.421845574387947,5.0,230
2020-04-01 15:06:18,554,526,27,7.961977186311787,6.0,118
2020-04-01 15:06:24,1150,1005,143,6.530348258706468,5.0,303
2020-04-01 15:06:30,463,432,30,5.835648148148148,5.0,176
2020-04-01 15:06:36,660,593,67,5.743676222596965,5.0,235
2020-04-01 15:06:42,675,633,40,4.726698262243286,5.0,249
2020-04-01 15:06:48,999,852,147,4.936619718309859,5.0,231
2020-04-01 15:06:54,852,706,143,5.481586402266289,5.0,348
2020-04-01 15:07:00,364,232,131,5.1594827586206895,5.0,106
2020-04-01 15:07:06,183,163,16,4.803680981595092,4.0,45
2020-04-01 15:07:12,622,569,51,4.862917398945519,5.0,217
2020-04-01 15:07:18,361,315,46,4.796825396825397,4.0,62
2020-04-01 15:07:24,683,637,46,4.729984301412872,4.0,255
2020-04-01 15:07:30,399,319,78,5.344827586206897,5.0,125
2020-04-01 15:07:36,270,248,20,5.42741935483871,5.0,54
2020-04-01 15:07:42,461,406,53,5.413793103448276,5.0,168
2020-04-01 15:07:48,533,507,26,9.502958579881655,8.0,111
2020-04-01 15:07:54,533,487,46,5.392197125256674,5.0,124
2020-04-01 15:08:00,927,811,114,6.467324290998767,6.0,368
2020-04-01 15:08:06,254,214,38,5.514018691588785,5.0,62
2020-04-01 15:08:12,472,375,93,6.504,5.0,101
2020-04-01 15:08:18,771,744,25,5.248655913978495,5.0,175
2020-04-01 15:08:24,612,544,68,5.0,5.0,191
