f0_feature,timestamp,f0_value,f1_feature,f1_value,f2_feature,f2_value
update_count,2005-05-23 21:00:00,539,announcement_count,470,withdrawal_count,37
update_count,2005-05-23 21:01:00,608,announcement_count,541,withdrawal_count,21
update_count,2005-05-23 21:02:00,995,announcement_count,929,withdrawal_count,40
update_count,2005-05-23 21:03:00,645,announcement_count,562,withdrawal_count,28
update_count,2005-05-23 21:04:00,782,announcement_count,738,withdrawal_count,20
update_count,2005-05-23 21:05:00,590,announcement_count,508,withdrawal_count,32
update_count,2005-05-23 21:06:00,646,announcement_count,522,withdrawal_count,93
update_count,2005-05-23 21:07:00,949,announcement_count,865,withdrawal_count,38
update_count,2005-05-23 21:08:00,713,announcement_count,608,withdrawal_count,74
update_count,2005-05-23 21:09:00,594,announcement_count,452,withdrawal_count,94
update_count,2005-05-23 21:10:00,536,announcement_count,488,withdrawal_count,13
update_count,2005-05-23 21:11:00,517,announcement_count,449,withdrawal_count,35
update_count,2005-05-23 21:12:00,829,announcement_count,776,withdrawal_count,16
update_count,2005-05-23 21:13:00,505,announcement_count,465,withdrawal_count,6
update_count,2005-05-23 21:14:00,549,announcement_count,468,withdrawal_count,35
update_count,2005-05-23 21:15:00,882,announcement_count,823,withdrawal_count,33
update_count,2005-05-23 21:16:00,864,announcement_count,780,withdrawal_count,34
update_count,2005-05-23 21:17:00,528,announcement_count,462,withdrawal_count,38
update_count,2005-05-23 21:18:00,699,announcement_count,569,withdrawal_count,84
update_count,2005-05-23 21:19:00,513,announcement_count,467,withdrawal_count,16
update_count,2005-05-23 21:20:00,313,announcement_count,235,withdrawal_count,34
update_count,2005-05-23 21:21:00,959,announcement_count,891,withdrawal_count,36
update_count,2005-05-23 21:22:00,763,announcement_count,643,withdrawal_count,74
update_count,2005-05-23 21:23:00,537,announcement_count,471,withdrawal_count,35
update_count,2005-05-23 21:24:00,868,announcement_count,774,withdrawal_count,50
update_count,2005-05-23 21:25:00,560,announcement_count,508,withdrawal_count,20
update_count,2005-05-23 21:26:00,602,announcement_count,537,withdrawal_count,19
update_count,2005-05-23 21:27:00,1015,announcement_count,952,withdrawal_count,35
update_count,2005-05-23 21:28:00,774,announcement_count,640,withdrawal_count,85
update_count,2005-05-23 21:29:00,753,announcement_count,689,withdrawal_count,36
update_count,2005-05-23 21:30:00,1025,announcement_count,867,withdrawal_count,112
update_count,2005-05-23 21:31:00,542,announcement_count,435,withdrawal_count,75
update_count,2005-05-23 21:32:00,738,announcement_count,666,withdrawal_count,24
update_count,2005-05-23 21:33:00,730,announcement_count,659,withdrawal_count,45
update_count,2005-05-23 21:34:00,871,announcement_count,783,withdrawal_count,40
update_count,2005-05-23 21:35:00,564,announcement_count,518,withdrawal_count,16
update_count,2005-05-23 21:36:00,599,announcement_count,509,withdrawal_count,45
update_count,2005-05-23 21:37:00,553,announcement_count,503,withdrawal_count,23
update_count,2005-05-23 21:38:00,476,announcement_count,416,withdrawal_count,12
update_count,2005-05-23 21:39:00,784,announcement_count,701,withdrawal_count,52
update_count,2005-05-23 21:40:00,832,announcement_count,766,withdrawal_count,24
update_count,2005-05-23 21:41:00,496,announcement_count,415,withdrawal_count,45
update_count,2005-05-23 21:42:00,685,announcement_count,627,withdrawal_count,16
update_count,2005-05-23 21:43:00,548,announcement_count,482,withdrawal_count,31
update_count,2005-05-23 21:44:00,621,announcement_count,561,withdrawal_count,16
update_count,2005-05-23 21:45:00,543,announcement_count,499,withdrawal_count,14
update_count,2005-05-23 21:46:00,495,announcement_count,419,withdrawal_count,28
update_count,2005-05-23 21:47:00,808,announcement_count,745,withdrawal_count,37
update_count,2005-05-23 21:48:00,257,announcement_count,191,withdrawal_count,22
update_count,2005-05-23 21:49:00,452,announcement_count,404,withdrawal_count,14
update_count,2005-05-23 21:50:00,507,announcement_count,430,withdrawal_count,33
update_count,2005-05-23 21:51:00,471,announcement_count,401,withdrawal_count,38
update_count,2005-05-23 21:52:00,493,announcement_count,421,withdrawal_count,37
update_count,2005-05-23 21:53:00,533,announcement_count,464,withdrawal_count,29
update_count,2005-05-23 21:54:00,548,announcement_count,488,withdrawal_count,34
update_count,2005-05-23 21:55:00,475,announcement_count,418,withdrawal_count,5
